name,line
Thorin," No one, I swear. What in Durin’s name is going on?"
Gandalf,You are being hunted.
Dwalin, We have to get out of here.
Ori, We can’t! We have no ponies; they bolted.
Radagast, I’ll draw them off.
Gandalf, These are Gundabad Wargs; they will outrun you.
Radagast, These are Rhosgobel Rabbits; I’d like to see them try.
Radagast, Come and get me! Ha ha!
Gandalf, Come on!
Gandalf, Stay together.
Thorin, Move!
Thorin," Ori, no! Come back!"
Gandalf, Come on! Quick!
Thorin, Where are you leading us?
Yazneg, The Dwarf-scum are over there! After them!
Gandalf, Move. Run!
Gloin, There they are!
Gandalf, This way! Quickly!
Kili, There’s more coming!
Thorin, Kili! Shoot them!
Fili, We’re surrounded!
Kili, Where is Gandalf?
Dwalin, He has abandoned us!
Thorin, Hold your ground!
Gandalf," This way, you fools!"
Thorin," Come on, move! Quickly, all of you! Go, go, go!"
Gandalf," Nine, ten"
Thorin, Kili! Run!
Thorin, Elves.
Dwalin, I cannot see where the pathway leads. Do we follow it or no?
Bofur," Follow it, of course!"
Gandalf, I think that would be wise.
Gandalf," The Valley of Imraldis. In the Common Tongue, it’s known by a another name."
Bilbo, Rivendell.
Gandalf, Here lies the last Homely House east of the sea.
Thorin," This was your plan all along, to seek refuge with our enemy."
Gandalf," You have no enemies here, Thorin Oakenshield. The only ill-will to be found in this valley is that which you bring yourself."
Thorin, You think the Elves will give our quest their blessing? They will try to stop us.
Gandalf, Of course they will. But we have questions that need to be answered. If we are to be
Lindir, Mithrandir.
Gandalf," Ah, Lindir!"
Thorin, Stay sharp.
Gandalf, I must speak with Lord Elrond.
Lindir, My lord Elrond is not here.
Gandalf, Not here? Where is he?
Thorin, Ifridî bekâr! [translated: Ready weapons!’] Hold ranks!
Elrond, Gandalf.
Gandalf, Lord Elrond. Mellonnen! Mo evínedh? [subtitle: My friend! Where have you been?]
Elrond, Farannem ‘lamhoth i udul o charad. Dagannem rim na Iant Vedui. [subtitle: We’ve been
Elrond," Strange for Orcs to come so close to our borders. Something, or someone, has drawn them near."
Gandalf," Ah, that may have been us."
Elrond," Welcome Thorin, son of Thrain."
Thorin, I do not believe we have met.
Elrond, You have your grandfather’s bearing. I knew Thror when he ruled under the Mountain.
Thorin, Indeed; he made no mention of you.
Elrond," Nartho i noer, toltho i viruvor. Boe i annam vann a nethail vin. [no subtitles; translation is: Light the fires, bring forth the wine. We must feed our guests.]"
Gloin, What is he saying? Does he offer us insult?
Gandalf," No, master Gloin, he’s offering you food."
Gloin," Ah well, in that case, lead on."
Dori, Try it. Just a mouthful.
Ori, I don’t like green food.
Dwalin, Where’s the meat?
Ori, Have they got any chips?
Gandalf, Kind of you to invite us. I'm not really dressed for dinner.
Elrond," Well, you never are."
Elrond," This is Orcrist, the Goblin Cleaver. A famous blade, forged by the High Elves of the West, my kin. May it serve you well."
Elrond," And this is Glamdring, the Foehammer, sword of the King of Gondolin. These swords were made for the goblin wars of the First Age..."
Balin," I wouldn’t bother, laddie. Swords are named for the great deeds they do in war."
Bilbo," What are you saying, my sword hasn’t seen battle?"
Balin," I’m not actually sure it is a sword; more of a letter opener, really."
Elrond, How did you come by these?
Gandalf," We found them in a troll hoard on the Great East Road, shortly before we were ambushed by orcs."
Elrond, And what were you doing on the Great East Road?
Thorin, Our business is no concern of elves.
Gandalf," For goodness sake, Thorin, show him the map."
Thorin," It is the legacy of my people; it is mine to protect, as are its secrets."
Gandalf, Save me from the stubbornness of Dwarves. Your pride will be your downfall. You stand
Balin," Thorin, no!"
Elrond, Erebor. What is your interest in this map?
Gandalf," It’s mainly academic. As you know, this sort of artifact sometimes contains hidden text. You still read Ancient Dwarvish, do you not?"
Elrond, Cirth Ithil.
Gandalf, Moon runes. Of course. An easy thing to miss.
Elrond," Well in this case, that is true; moon runes can only be read by the light of a moon of the"
Thorin, Can you read them?
Elrond," These runes were written on a Midsummer’s Eve by the light of a crescent moon nearly two hundred years ago. It would seem you were meant to come to Rivendell. Fate is with you, Thorin Oakenshield; the same moon shines upon us tonight."
Elrond," Stand by the gray stone when the thrush knocks, and the setting sun with the last light of Durin’s Day will shine upon the keyhole."
Bilbo, Durin’s Day?
Gandalf," It is the start of the dwarves’ new year, when the last moon of autumn and the first sun of winter appear in the sky together."
Thorin, This is ill news. Summer is passing. Durin’s Day will soon be upon us.
Balin, We still have time.
Bilbo, Time? For what?
Balin, To find the entrance. We have to be standing at exactly the right spot at exactly the right
Elrond," So this is your purpose, to enter the Mountain."
Thorin, What of it?
Elrond, There are some who would not deem it wise.
Gandalf, Who do you mean?
Elrond, You are not the only guardian to stand watch over Middle-earth.
Yazneg," Khozdayin… Dorguz… zuranimid. [subtitle: The Dwarves, Master... we lost them.] Shugi golgai gelnakhanishim [subtitle: Ambushed by Elvish filth, we were]"
Azog, Sha nargiz obhakhtil… [subtitle: I don’t want excuses...] Nargiz khobdi Rani Khozdil! 
Yazneg, Murganish dum…Turim hag shad. [subtitle: We were outnumbered...there was nothing we could do.] Zorzor gokairaz obguraniz. [subtitle: I barely escaped with my life.]
Azog, Ki gokairag baganig. [subtitle: Far better you had paid with it.]
Azog," Khozdshrakhun gud sha kilyashzag. [subtitle: The Dwarfscum will show themselves soon enough.] Zidgar obod tung nash ru khobdud! [subtitle: Send out word, there is a price on their heads!]"
Bofur, Bombur!
Gandalf," With or without our help, these dwarves will march on the mountain. They are determined to reclaim their homeland. I do not believe Thorin Oakenshield feels that he’s answerable to anyone. Nor for that matter am I."
Elrond, It is not me you must answer to.
Gandalf, Lady Galadriel.
Galadriel, Mithrandir. It has been a long time.
Gandalf," Nae nin gwistant infanneth, mal úeichia i Chíril Lorien. [subtitle: ‘Age may have changed me, but not so the Lady of Lorien.]"
Gandalf, I had no idea Lord Elrond had sent for you.
Saruman, He didn’t. I did.
Gandalf, Saruman.
Saruman," You’ve been busy of late, my friend."
Saruman," Tell me, Gandalf, did you think these plans and schemes of yours would go unnoticed?"
Gandalf," Unnoticed? No, I’m simply doing what I feel to be right."
Galadriel, The dragon has long been on your mind.
Gandalf," This is true, my lady. Smaug owes allegiance to no one. But if he should side with the"
Saruman," What enemy? Gandalf, the enemy is defeated. Sauron is vanquished. He can never regain his full strength."
Elrond," Gandalf, for four hundred years, we have lived in peace. A hardwon, watchful peace."
Gandalf," Are we? Are we at peace? Trolls have come down from the mountains. They are raiding villages, destroying farms. Orcs have attacked us on the road."
Elrond, Hardly a prelude to war.
Saruman," Always you must meddle, looking for trouble where none exists."
Galadriel, Let him speak.
Gandalf," There is something at work beyond the evil of Smaug. Something far more powerful. We can remain blind, but it will not be ignoring us, that I can promise you. A sickness lies over the Greenwood. The woodsmen who live there now call it ‘Mirkwood’. and they say..."
Saruman," Well, don’t stop now. Tell us about the woodsmen say."
Gandalf," They speak of a Necromancer living in Dol Guldur, a sorcerer who can summon the dead."
Saruman, That’s absurd. No such power exists in the world. This...Necromancer is nothing more than a mortal man. A conjurer dabbling in black magic.
Gandalf," And so I thought too. But, Radagast has seen"
Saruman, Radagast? Do not speak to me about Radagast the Brown. He is a foolish fellow.
Gandalf," Well, he’s odd, I grant you. He lives a solitary life."
Saruman," It’s not that. It’s his excessive consumption of mushrooms. They’ve addled his brain and yellowed his teeth. I warned him, it is unbefitting of the Istari to be wander in the woods..."
 telepathically, You carry something. It came to you from Radagast. He found it in Dol
 telepathically, Yes.
 telepathically, Show me.
Saruman, …or I’d think I was talking to myself…
Elrond, What is that?
Galadriel, A relic of Mordor.
Elrond, A Morgul blade.
Galadriel," Made for the Witchking of Angmar, and buried with him. When Angmar fell, men of the North took his body and all that he possessed and sealed it within the HighFells of Rhudaur. Deep within the rock they buried them, in a tomb so dark it would never come to light."
Elrond, This is not possible. A powerful spells lies upon those tombs; they cannot be opened.
Saruman, What proof do we have this weapon came from Angmar’s grave?
Gandalf, I have none.
Saruman," Because there is none. Let us examine what we know. A single Orc pack has dared to cross the Bruinen. A dagger from a bygone age has been found. And a human sorcerer, who calls himself the Necromancer, has taken up residence in a ruined fortress. It’s not so very much, after all. The question of this dwarvish company, however, troubles me deeply. I’m not convinced, Gandalf; I do not feel I can condone such a quest. If they’d come to me, I might have spared them this disappointment. I do not pretend to understand your reasons for raising their hopes…"
 telepathically, They are leaving.
 telepathically, Yes.
 telepathically, You knew.
Saruman, …I am afraid there is nothing else for it.
Lindir," My Lord Elrond; the dwarves, they’ve gone."
Thorin," Be on your guard; we’re about to step over the edge of the Wild. Balin, you know these"
Balin, Aye.
Thorin," Master Baggins, I suggest you keep up."
Galadriel, You will follow them?
Gandalf, Yes.
Galadriel," You are right to help Thorin Oakenshield. But I fear this quest has set in motion forces we do not yet understand. The riddle of the Morgul blade must be answered. Something moves in the shadows, unseen, hidden from our sight. It will not show itself, not yet. But every day it grows in strength. You must be careful."
Gandalf, Yes.
Galadriel, Mithrandir? Why the Halfling?
Gandalf," I don’t know. Saruman believes that it is only great power that can hold evil in check. But that is not what I have found. I’ve found it is the small things, everyday deeds of ordinary folk, that keeps the darkness at bay. Simple acts of kindness and love. Why Bilbo Baggins? Perhaps it is because I am afraid, and he gives me courage."
 telepathically," Do not be afraid, Mithrandir."
 aloud, You are not alone.
Galadriel," Ae boe i le eliathon, im tulithon. [subtitle: If you should ever need my help, I will come.]"
Thorin, Hold on!
Thorin, We must find shelter!
Dwalin, Watch out!
Balin, This is no thunderstorm; it’s a thunder battle! Look!
Bofur," Well bless me, the legends are true. Giants; Stone Giants!"
Thorin, Take cover: you’ll fall!
Kili, What’s happening?
Fili, Kili! Grab my hand! Ki...
Thorin, No! No! Kili!
Balin, We’re all right! We’re alive!
Bofur, Where’s Bilbo? Where’s the Hobbit?
Ori, There!
Dwalin, Get him!
Dwalin, I thought we’d lost our burglar.
Thorin, He’s been lost ever since he left home. He should never have come. He has no place
Dwalin, It looks safe enough.
Thorin, Search to the back; caves in mountains are seldom unoccupied.
Dwalin, There’s nothing here.
Gloin, Right then! Let’s get a fire started.
Thorin," No, No fires, not in this place. Get some sleep. We start at first light."
Balin, We were to wait in the mountains until Gandalf joined us. That was the plan.
Thorin," Plans change. Bofur, take the first watch."
Azog, [subtitle: The scent is fresh! They have taken the mountain pass.]
Bofur, Where do you think you’re going?
Bilbo, Back to Rivendell.
Bofur," No, no, you can’t turn back now, you’re part of the Company. You’re one of us."
Bilbo," I’m not though, am I? Thorin said I should never have come, and he was right. I’m not a Took, I’m a Baggins, I don’t know what I was thinking. I should never have run out my door."
Bofur, You’re homesick; I understand.
Bilbo," No, you don’t, you don’t understand! None of you do you’re dwarves. You used to to"
Bilbo," I am sorry, I didn’t..."
Bofur," No, you’re right. We don’t belong anywhere. I wish you all the luck in the world. I really do."
Bofur, What’s that?
Thorin, Wake up. Wake up!
Great Goblin, Who would be so bold as to come armed into my kingdom? Spies? Thieves?
Grinnah," Dwarves, Your Malevolence."
Great Goblin, Dwarves?
Grinnah, We found them on the front porch.
Great Goblin," Well, don’t just stand there; search them! Every crack, every crevice."
Great Goblin, What are you doing in these parts? Speak!
Great Goblin," Well then, if they will not talk, we’ll make them squawk! Bring out the Mangler! Bring out the Bone Breaker! Start with the youngest."
Thorin, Wait.
Great Goblin," Well, well, well, look who it is. Thorin son of Thrain, son of Thror; King under the"
Great Goblin," Oh, but I’m forgetting, you don’t have a mountain. And you’re not a king. Which makes you nobody, really. I know someone who would pay a pretty price for your head. Just the head, nothing attached. Perhaps you know of whom I speak, an old enemy of yours. A Pale Orc astride a White Warg."
Thorin, Azog the Defiler was destroyed. He was slain in battle long ago.
Great Goblin," So you think his defiling days are done, do you?"
Great Goblin, Send word to the Pale Orc; tell him I have found his prize.
Gollum, Yes. Yes. Yes! Yes! Gollum. Gollum.
Gollum," Nasty goblinses. Better than old bones, Precious; better than nothing."
Smeagol," Too many boneses, Precious! Nothing of flesh!"
Gollum, Shut up! Get its skin off. Start with its head.
 singing," The cold hard lands, they bites our hands, they gnaws our feet. The rocks and stones, they’re like old bones, all bare of meat. Cold as death, they have no breath, it’s good to eat!"
Gollum," Bless us and splash us, Precious! That’s a meaty mouthful."
Gollum, Aaahh. Gollum. Gollum. Ack
Bilbo," Back. Stay back. I’m warning you, don’t come any closer."
Gollum," It’s got an elfish blade, but it’s not an Elfs. Not an Elfs, no. What is it, Precious? What is it?"
Bilbo, My name is Bilbo Baggins.
Gollum," Bagginses? What is a Bagginses, Precious?"
Bilbo, I’m a Hobbit from the Shire.
Gollum," Oh! We like Goblinses, batses, and fishes, but we hasn’t tried Hobbitses before. Is it soft? Is it juicy?"
Bilbo," Now, now, K--keep your distance! I’ll use this if I have to!"
Bilbo," I don’t want any trouble, do you understand? Just show me the way to get out of here, and I’ll be on my way."
Gollum," Why, is it lost?"
Bilbo," Yes, yes, and I want to get unlost as soon as possible."
Gollum, Ooh! We knows! We knows safe paths for Hobbitses. Safe paths in the dark.
Gollum, Shut up.
Bilbo, I didn’t say anything.
Gollum, Wasn’t talking to you.
Gollum," But yes, we was, Precious, we was."
Bilbo," Look, uh, I don’t know what your game is, but I"
Gollum," Games? We love games, doesn’t we, Precious? Does it like games? Does it? Does it? Does it like to play?"
Bilbo, Maybe?
Gollum," What has roots as nobody sees, is taller than trees. Up, up, up it goes, and yet, never"
Bilbo, ...The mountain.
Gollum," Yess, yess, oh, let’s have another one, eh? Yes, come on, do it again, do it—do it again. Ask us."
Gollum, No! No more riddles. Finish him off. Finish him now. Gollum! Gollum!
Bilbo," No! No, no, no. I wa—I want to play. I do. I want to play. I can see you are very good at this. S—so why don’t we have a game of riddles? Yes, just, just you and me."
Gollum," Yes! Yes, just, just—just us."
Bilbo," Yes. Yes. And—and if I win, you show me the way out."
Gollum, Yes. Yes 
Gollum, And if it loses? What then?
Gollum," Well, if it loses, Precious, we will eats it!"
Gollum," If Baggins loses, we eats it whole."
Bilbo, Fair enough.
Gollum," Well, Baggins first."
Bilbo," Thirty white horses on a red hill. First they champ, then they stamp, then they stand still."
Gollum, Teeth?
Gollum," Teeth!! Yes, my Precious. But we—we—we only have nine."
Gollum," Our turn. Voiceless it cries, wingless flutters, toothless bites, mouthless mutters."
Bilbo, Just a minute.
Gollum," Oh, oh! We knows. We knows!"
Gollum, Shut up.
Bilbo, Wind. It’s wind! Of course it is.
Gollum," Very clever, Hobbitses, very clever."
Bilbo," Ah, ah, ah, ah. A—a box without hinges, key, o—or, or lid; yet golden treasure inside is hid."
Gollum, A box...and a lid...and then a key....
Bilbo, Well?
Gollum," It’s nasty. Uh, box, uh..."
Bilbo, Give up?
Gollum," Give us a chance, Precious, give us a chance!"
Gollum," Eggses! Eggses! [He laughs.] What crunchy little eggses, yes. Grandmother taught us to suck them, yes."
Gollum," Ahh. We have one for you: All things it devours, birds, beasts, trees, flowers. Gnaws iron, bites steel, grinds hard stones to meal. Answer us."
Bilbo," Give me a moment, please, I gave you a good long while."
Bilbo, I don’t know this one.
Gollum, Is it tasty? Is it scrumptious? Is it crunchable?
Bilbo, Let me think. Let me think.
Gollum, It’s stuck. Bagginses is stuck.
Gollum, Time’s up.
Bilbo, Time. Ti—the answer is time.
Bilbo," Actually, it wasn’t that hard."
Gollum, Last question. Last chance.
Bilbo," Ah, uh...."
Gollum, Ask us. ASK US!!
Bilbo," Yes, yes, alright."
Bilbo, What have I got in my pocket?
Gollum, That’s not fair. It’s not fair! It’s against the rules!
Gollum, Ask us another one.
Bilbo," No, no, no, no. You said ‘Ask me a question.’ Well, that is my question. What have I got in my pocket?"
Gollum," Three guesses, Precious. It must give us three."
Bilbo," Three guesses. Very well, guess away."
Gollum, Handses!
Bilbo," Wrong, guess again."
Gollum," Fishbones, goblins’ teeth, wet shells, bat’s wings ... Knife!"
Gollum," Oh, shut up."
Bilbo, Wrong again. Last guess.
Gollum, String!
Gollum, Or nothing.
Bilbo, Two guesses at once; wrong both times.
Bilbo," So, come then, I won the game, you promised to show me the way out."
Gollum," Did we say so, Precious? Did we say so?"
Gollum, What has it got in its pocketses?
Bilbo, That’s no concern of yours. You lost.
Gollum, Lost? Lost? Lost?
Gollum, Where is it? Where is it? No! Ahh! Where is it? No! No!!!
Gollum," Lost! Curses and splashes, my precious is lost!"
Bilbo, What have you lost?
Gollum," Mustn't ask us! Not its business! No! Gollum, Gollum."
Gollum, What has it got in its nasty little pocketses?
Gollum, He stole it. He stole it! Ahh! HE STOLE IT!
Great Goblin," Bones will be shattered, necks will be wrung! You’ll be beaten and battered, from"
Great Goblin," I know that sword! It is the GoblinCleaver, the Biter, the blade that sliced a thousand necks."
Great Goblin, Slash them! Beat them! Kill them! Kill them all! Cut off his head!
Gandalf, Take up arms. Fight. Fight!
Great Goblin," He wields the FoeHammer, the Beater, bright as daylight!"
Dwarf, Nori!
Gandalf, Follow me. Quick! Run!
Gollum, Give it to us!
Gollum, It’s ours. It’s ours!
Gollum, Thief! Baggins!
Gandalf, Quickly!
A dwarf, Faster!
Dwalin, Post!
Dwalin, Charge!
Thorin, Cut the ropes!
Gandalf, Quickly!
Thorin, Jump!
Great Goblin, You thought you could escape me?
Great Goblin," What are you going to do now, wizard?"
Great Goblin," Ow, ow, ow!"
Great Goblin, That’ll do it.
Bofur," Well, that could have been worse."
Dwalin, You’ve got to be joking!
Kili, Gandalf!
Dwalin, There’s too many! We can’t fight them.
Gandalf," Only one thing will save us: daylight! Come on! Here, on your feet!"
Gollum," Wait, my Precious! Wait! Gollum, Gollum."
Gollum," Baggins! Thief! Curse it and crush it, we hates it forever!"
Gandalf," Five, six, seven, eight...Bifur, Bofur...that’s ten...Fili, Kili...that’s twelve...and Bombur that makes thirteen. Where’s Bilbo? Where is our Hobbit? Where is our hobbit?!"
Dwalin, Curse the halfling! Now he’s lost?!
Gloin, I thought he was with Dori!
Dori, Don’t blame me!
Gandalf," Well, where did you last see him?"
Nori," I think I saw him slip away, when they first collared us."
Gandalf, What happened exactly? Tell me!
Thorin, I’ll tell you what happened. Master Baggins saw his chance and he took it! He’s thought of nothing but his soft bed and his warm hearth since first he stepped out of his door! We will not be seeing our Hobbit again. He is long gone.
Bilbo," No, he isn’t."
Gandalf, Bilbo Baggins! I’ve never been so glad to see anyone in my life!
Kili," Bilbo, we’d given you up!"
Fili, How on earth did you get past the Goblins?!
Dwalin," How, indeed."
Gandalf," Well, what does it matter? He’s back!"
Thorin, It matters! I want to know: why did you come back?
Bilbo," Look, I know you doubt me, I know you always have. And you’re right, I often think of Bag End. I miss my books. And my armchair. And my garden. See, that’s where I belong. That’s home. And that’s why I came back, cause you don’t have one. A home. It was taken from you. But I will help you take it back if I can."
Azog, [subtitle: Run them down! Tear them to pieces!]
Thorin, Out of the frying pan...
Gandalf, ...and into the fire! Run! RUN!
Gandalf," Up into the trees, all of you! Come on, climb! Bilbo, climb!"
Thorin, They’re coming!
Thorin, Azog?!
Azog," Nuzdigid? Nuzdi gast? [subtitle: Do you smell it? The scent of fear?] Ganziligi unarug obod nauzdanish, Torin undag Trainob."
Thorin, It cannot be.
Azog," Kod, Toragid biriz. [subtitle: That one is mine.] Wororida! [subtitle: Kill the others!]"
Azog, Sho gad adol! [subtitle: Drink their blood!]
Gandalf, Fili!
Ori, Aahhh! Oh! Oh no!
Dori, Mister Gandalf!
Dori," Hold on, Ori!"
Ori, Help!
Balin, Nooo!
Dwalin, Thorin! Nooo!
Azog, Biriz torag khobdudol. [subtitle: Bring me the Dwarf’s head.]
Azog, [subtitle: Kill him.]
Fili, Thorin!
Gandalf, Thorin! Thorin.
Thorin, The halfling?
Gandalf, It’s all right. Bilbo is here. He’s quiet safe.
Thorin, You! What were you doing? You nearly got yourself killed! Did I not say that you would be a burden? That you would not survive in the wild and that you had no place amongst us?
Thorin, I’ve never been so wrong in all my life!
Thorin, I am sorry I doubted you.
Bilbo," No, I would have doubted me too. I’m not a hero or a warrior...not even a burglar."
Bilbo, Is that what I think it is?
Gandalf, Erebor—The Lonely Mountain. The last of the great dwarf kingdoms of Middleearth.
Thorin, Our home.
Oin, A raven! The birds are returning to the mountain.
Gandalf," That, my dear Oin, is a thrush."
Thorin, But we’ll take it as a sign a good omen.
Bilbo, You’re right. I do believe the worst is behind us.
